Unnamed: 0,Bug ID,Product,Component,Status,Resolution,Summary,Average_Cos_Similarity_Trigram,Average_Cos_Similarity_Bigram,Average_Cos_Similarity_Score,Changed,Bug Id,Description,Duplicate_Bug_Ids
157,576714.0,JGit,JGit,CLOSED,DUPLICATE,Upgrade org.apache.sshd:sshd-core to version 2.7.0,0.01426270753703068,0.016080247728353383,0.027461757035740848,2021-10-19 04:47:14,576714.0,affected versions of this package are vulnerable to buffer overflow  it allows an attacker to overflow the server causing an outofmemory error   reference         mina apache org      sshd commit  ,574220.0
1372,517250.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] Eclipse Oxygen (4.7),0.014450736196881794,0.017776200552682943,0.028924417656748157,2017-06-12 15:52:36,517250.0,we ll use this bug to track the release  we require ip team approval of the ip log  ip log has been uploaded    bug cgi id    we require pmc approval of the release and review materials  review material          release review,517249.0
1721,538671.0,Community,CI-Jenkins,CLOSED,DUPLICATE,JIPP for Concurrency Utilities RI,0.013392496975288591,0.0169028197675263,0.029488300836160008,2018-09-10 12:56:59,538671.0,please create a jipp for the   eclipse project for concurrency utilities  ,538670.0
1839,527762.0,Community,Website,CLOSED,DUPLICATE,Cross site scripting,0.012121126505519025,0.013728593060891794,0.015358217105650938,2017-11-27 04:46:12,527762.0,created attachment   eclise screenshot  vulenrability name   cross site scripting   vulenrability description     vulenrable url        hl   id         project   project    vulenrable item   id  payload                acx  script  alert   script    how to reproduce this issue      visit this url it will alert a xss popup      hl   id                acx  script  alert     script  project   project     poc     screenshot enclosed in attachement,518274.0
1843,539770.0,Community,Wiki,CLOSED,DUPLICATE,"The ""allow cookies"" notice appears for every single page access in the wiki",0.011420635590174998,0.013844521484859812,0.023365740713720832,2019-11-21 13:52:27,539770.0,i am prompted to accept cookies with every page access in the wiki     this only seems to happen under https  afaict  i m asked exactly once when i connect anonymously via http   ,552928.0
1857,543311.0,Platform,Doc,CLOSED,DUPLICATE,login page is not working,0.009619918608316822,0.010665228955901154,0.011623509919064608,2019-01-09 11:59:21,543311.0,login page is not openinng,543300.0
1873,523546.0,JDT,Text,CLOSED,DUPLICATE,FREE *TV)))) Cowboys vs Cardinals Live Stream online,0.0,0.0,0.0003078817733990148,2017-09-26 00:52:12,523546.0,fdsfdsfds,442999.0
1894,520810.0,Babel,Server,RESOLVED,DUPLICATE,Language switcher does not work,0.0071570270862787,0.008448040089411926,0.016999722148170422,2017-08-16 10:29:59,520810.0,section with projects is empty when selecting any language   ,520619.0
1898,511072.0,Community,Nexus,CLOSED,DUPLICATE,repo.eclipse.org responds with 503 service unavailable,0.01361332194047947,0.01687524087571626,0.03153446315025702,2017-01-26 00:53:11,511072.0,jgit builds fail to upload artefacts to repo eclipse org due to   response      console,508658.0
1979,563091.0,Community,CI-Jenkins,CLOSED,DUPLICATE,Builds fail with Unrecognized VM option 'IdleTuningCompactOnIdle',0.007853495916213243,0.00904371754451977,0.014986344156404851,2020-05-12 06:40:17,563091.0,lemminx builds started to fail yesterday with  unrecognized vm option  idletuningcompactonidle          pipeline  builds use jdk  adoptopenjdk hotspot   latest   as seen in     ,563075.0
1981,564131.0,Community,CI-Jenkins,CLOSED,DUPLICATE,Jobs are failing with failing to resolve download.eclipse.org or repo.eclipse.org,0.006358201643753233,0.007034999217076039,0.014064258965173338,2020-06-09 11:14:16,564131.0,we have multiple failures on platform jipp    gerrit      gerrit      gerrit     all subsequent builds,564121.0
